listing_name,categories,seniority,required_skills
devops engineer - internal project,devops,mid,"['cloud', 'ci/cd', 'virtualization', 'git', 'linux', 'kubernetes', 'bash', 'python', 'docker']"
data & bi developer,data,senior,"['t-sql', 'microsoft power bi', 'etl', 'azure', 'python', 'dax', 'azure analysis services', 'azure databricks', 'synapse analytics', 'data factory']"
data scientist,data,mid,"['python', 'r', 'sql', 'deep learning', 'machine learning']"
senior python developer,python,senior,"['python', 'docker', 'kubernetes']"
machine learning engineer,python,mid,"['pytorch', 'python', 'deep learning', 'git', 'docker', 'linux', 'machine learning', 'kubernetes', 'computer vision', 'opencv']"
senior python developer,python,senior,"['python', 'postgresql', 'english', 'fastapi', 'java', 'javascript', 'go']"
senior python developer,python,senior,"['python', 'software design', 'english', 'aws']"
client solutions engineer,python,mid,"['software design', 'english', 'python', 'aws']"
graduate qa engineer,testing,junior,"['linux', 'python', 'test automation', 'java', 'analytics', 'testing', 'networking', 'bash']"
python tech lead,python,senior,"['python', 'amazon aws', 'ci/cd', 'agile', 'graphql', 'ddd']"
python developer,python,mid,"['python 3.x', 'postgresql', 'sqlalchemy', 'flask', 'graphql', 'event sourcing']"
freelance qa automation engineer,testing,senior,"['english', 'python', 'test automation', 'appium or pytest']"
system administrator,admin,mid,"['linux', 'python', 'shell', 'english', 'aws', 'docker', 'jenkins', 'nginx', 'azure', 'salt']"
remote senior data engineer,python,senior,"['python', 'etl', 'etl tools', 'databases', 'ml', 'data', 'nosql', 'cloud']"
python developer (remote),python,mid,"['english', 'polish', 'python', 'sql', 'django', 'docker', 'flask', 'google cloud', 'opencv', 'pandas']"
praktyki automation developer,support,junior,"['java', 'python', 'javascript']"
mid python developer,python,mid,"['git', 'gitflow', 'django', 'django rest framework', 'docker', 'flask', 'kubernetes', 'graphql', 'blockchain']"
"junior data engineer (communication, media & technology)",data,junior,"['azure', 'aws', 'gcp', 'sql', 'python']"
devops (data analytics),devops,senior,"['python', 'elasticsearch']"
"senior engineering manager, merchant ser",python,senior,"['python', 'jira', 'kotlin', 'github', 'kibana']"
software engineer (merchant servicing),python,mid,"['python', 'kotlin', 'react']"
application security engineer,security,mid,"['appsec', 'websec', 'netsec', 'go', 'python', 'ruby']"
lead data engineer,data,senior,"['etl', 'elt', 'sql', 'python']"
senior research scientist,data,senior,"['python', 'deep learning', 'machine learning', 'nlp']"
automation engineer,testing,mid,"['vbs', 'powershell', 'c#', '.net core', 'postgresql', 'python', 'azure']"
data scientist,data,mid,"['sql', 'python', 'business analysis']"
