listing_name,categories,seniority,required_skills
 Remote DevOps Engineer (AWS) ,devops, Senior ,"[' AWS ', ' DevOps ', ' Docker ', ' CSP ', ' Terraform ', ' CloudFormation ', ' Python ', ' Groovy ', ' Java ', ' Go ', ' Bash ', ' CI/CD Pipelines ', ' Jenkins ', ' CircleCI ', ' GoCD ', ' Autoscaling ', ' Ansible ', ' Progress Chef ', ' Puppet ', ' Helm ', ' TDD ', ' BDD ', ' Kubernetes ', ' Istio ', ' Cucumber ', ' Selenium ']"
 QA Engineer ,testing, Mid ,"[' Python ', ' Protocols ']"
 Solution Architect (RPA Developer)  ,data, Senior ,"[' Azure ', ' OWASP ', ' Microservices ', ' REST API ', ' OAuth ', ' SAML ', ' Node.js ', ' Python ', ' JavaScript ', ' React ', ' MuleSoft ', ' MongoDB ', ' PostgreSQL ', ' Redis ', ' IBM ', ' Docker ', ' Swarm ', ' Git ', ' GitLab ', ' Jira ', ' Confluence ', ' Bash ', ' AWS ']"
 Full Stack Developer (Python + React) ,python, Mid ,"[' Python ', ' React ', ' AWS ', ' pytest ', ' Data Visualization Libraries ', ' Plotly.js ', ' Chart.js ', ' Chartist.js ']"
 Senior Data Engineer ,data, Senior ,"[' Spark ', ' Python ', ' SQL ', ' Cloud ', ' Snowflake ', ' Airflow ', ' Docker ', ' dbt ', ' Hadoop ']"
 Python Software Engineer ,data," Mid, Senior ","[' Python ', ' Big Data ', ' NoSQL ', ' SQL ', ' ORM ', ' KafkaMQ ', ' APIS ']"
 Senior Scala Developer ,python, Senior ,"[' Scala ', ' Spark ', ' Python ', ' Big Data ', ' Azure ']"
 BI Engineer ,data, Mid ,"[' Python ', ' Java ', ' SQL ', ' AWS ', ' Airflow ', ' dbt ', ' Looker ']"
 .NET Software Engineer ,python," Mid, Senior ","[' .NET ', ' .NET CORE ', ' Python ', ' pandas ', ' NumPy ', ' AWS ']"
 DevOps Engineer ,devops, Mid ,"[' cloud ', ' Git ', ' CI/CD ', ' Python ', ' Flask ', ' Docker ', ' pandas ', ' Azure ', ' Jenkins ', ' AWS ', ' DevOps ']"
