listing_name,categories,seniority,required_skills
Senior Devops (Service Infrastructure),devops,senior,"['AWS', 'Kubernetes', 'Python']"
Devops Engineer (Service Infrastructure),devops,mid,"['AWS', 'Kubernetes', 'Python']"
DevOps Engineer,devops,mid,"['Kubernetes', 'Python', 'Docker', 'Google Cloud Platform', 'Linux']"
Architecture Engineer & Team Leader,architecture,senior,"['Embedded Systems', 'C++', 'CMake', 'Unit Testing', 'Python', 'Bash']"
MCU Embedded Software Engineer,c,mid,"['C++11', 'MCU', 'English', 'Linux', 'Git', 'Python 3']"
Lead Analyst - Power BI,analytics,mid,"['Power BI', 'Python']"
Senior Data Scientist,data,senior,"['Python', 'PySpark', 'Pandas', 'Jupyter', 'NumPy', 'SQL']"
ML Developer Researcher,python,mid,"['Python', 'poetry', 'MLflow', 'DVC', 'GitLab', 'Docker', 'MLOps', 'mypy']"
Lead ML Developer Researcher,python,senior,"['Python', 'poetry', 'MLflow', 'DVC', 'GitLab', 'Docker', 'MLOps', 'mypy']"
SRE Engineer(RnD),devops,senior,"['Ruby', 'Python', 'Java', 'Datadog', 'ELK', 'PMM', 'Ansible', 'SaltStack', 'Kubernetes', 'CI/CD']"
C/C++ Embedded Software Developer,c,mid,"['Embedded', 'C', 'C++', 'Bash', 'LUA', 'Python', 'Perl', 'SVN']"
Senior Web Scraper,python,senior,"['WebScraping', 'Python', 'PHP', 'Java', 'JavaScript', 'XPath', 'JSON']"
Senior Python Engineer,python,senior,"['Python', 'Docker', 'Kubernetes', 'Unix', 'Cloud', 'DevOps tools', 'Networking', 'SDK']"
Senior C++ Developer,c,senior,"['C++', 'Windows API', 'Python', 'cicd']"
Senior Network Engineer in Security,security,senior,"['Networks', 'Network Security', 'Firewall', 'routers', 'Linux', 'Python', 'Bash']"
Cloud DevOps Engineer,devops,mid,"['CI/CD', 'Terraform', 'IAM', 'Bash', 'Python', 'Powershell', 'Azure ARM', 'Ansible', 'Puppet']"
Python/Fullstack Developer,python,mid,"['Python', 'English', 'MySQL / PostgreSQL', 'Linux / Unix', 'Amazon AWS', 'NGINX', 'Angular']"
DevOps Engineer,devops,senior,"['Python', 'Cloud', 'Kubernetes']"
DevOps Engineer,devops,senior,"['Docker', 'Kubernetes', 'Python', 'Cloud']"
Mid Data Scientist,python,mid,"['Polish', 'Python', 'English', 'Docker', 'Git', 'User Stories', 'Data Visualization', 'Microservices', 'AWS', 'PyTorch']"
Staff Network Engineer,support,senior,"['Networking', 'TCP', 'WAN & LAN', 'English', 'Juniper', 'Palo Alto', 'Python', 'Ansible', 'Meraki', 'F5']"
Automation Test Engineer,testing,mid,"['Python', 'REST', 'pytest', 'CI/CD', 'AWS', 'Ansible', 'Terraform', 'Jenkins', 'Docker', 'Kubernetes']"
Cloud Developer,devops,mid,"['Python', 'Docker', 'TypeScript', 'Kubernetes', 'Azure', 'JavaScript', 'HTML', 'CSS', 'MySQL']"
C++ Developer in Archmod,c,mid,"['C++', 'JIRA', 'Git', 'Python', 'IDA', 'OllyDbg', 'Bitbucket', 'Confluence', 'Reverse engineering']"
Data Engineer,python,mid,"['Python', 'SQL', 'Machine Learning', 'Azure', 'NoSQL']"
